Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
218228_s_at,TNKS2,ENSG00000107854,17593,2578.5781,-2.38138,0.0015,1.00E-04,
218237_s_at,SLC38A1,ENSG00000111371,17602,2578.8456,-2.31145,0.0015,1.00E-04,
200811_at,CIRBP,ENSG00000099622,339,2578.8992,-2.20794,0.0015,1.00E-04,
205248_at,DOPEY2,ENSG00000142197,4775,2579.0459,-2.33545,0.0015,1.00E-04,
212074_at,SUN1,ENSG00000164828,11460,2580.0574,-2.44223,0.0015,1.00E-04,
202607_at,NDST1,ENSG00000070614,2135,2583.0912,-2.2885,0.0015,1.00E-04,
204137_at,GPR137B,ENSG00000077585,3664,2584.0824,-2.64066,0.0015,1.00E-04,
218821_at,NPEPL1,ENSG00000215440,18185,2584.1056,-2.52031,0.0015,1.00E-04,
212498_at,nil,nil,nil,11883,2584.3919,-2.60828,0.0015,1.00E-04
217976_s_at,DYNC1LI1,ENSG00000144635,17341,2585.3492,-2.39745,0.0015,1.00E-04,
202096_s_at,TSPO,ENSG00000100300,1624,2586.366,-2.2675,0.0015,1.00E-04,
217922_at,MAN1A2,ENSG00000198162,17287,2589.3155,-2.39164,0.0015,1.00E-04,
209682_at,CBLB,ENSG00000114423,9170,2589.5476,-2.54806,0.0015,1.00E-04,
202804_at,ABCC1,ENSG00000103222,2332,2592.3006,-2.30218,0.0015,1.00E-04,
218489_s_at,ALAD,ENSG00000148218,17854,2596.907,-2.55319,0.0015,1.00E-04,
202098_s_at,PRMT2,ENSG00000160310,1626,2599.3476,-2.31867,0.0016,1.00E-04,
201057_s_at,GOLGB1,ENSG00000173230,585,2601.9719,-2.43463,0.0016,1.00E-04,
212899_at,CDK19,ENSG00000155111,12284,2602.5728,-2.52048,0.0016,1.00E-04,
204204_at,SLC31A2,ENSG00000136867,3731,2603.7991,-2.49857,0.0016,1.00E-04,
205246_at,PEX13,ENSG00000162928,4773,2604.5832,-2.387,0.0016,1.00E-04,
219382_at,SERTAD3,ENSG00000167565,18746,2608.0284,-2.25402,0.0016,1.00E-04,
222119_s_at,FBXO11,ENSG00000138081,21479,2610.0231,-2.49338,0.0016,1.00E-04,
202960_s_at,MUT,ENSG00000146085,2489,2610.6898,-2.60593,0.0016,1.00E-04,
220173_at,C14orf45,ENSG00000119636,19537,2611.0571,-2.60882,0.0016,1.00E-04,
219073_s_at,OSBPL10,ENSG00000144645,18437,2612.3662,-2.68328,0.0016,1.00E-04,
212474_at,AVL9,ENSG00000105778,11859,2620.7249,-2.42923,0.0017,1.00E-04,
218729_at,LXN,ENSG00000079257,18093,2620.7727,-2.43075,0.0017,1.00E-04,
211961_s_at,RAB7A,ENSG00000075785,11348,2621.7768,-2.35675,0.0017,1.00E-04,
205749_at,CYP1A1,ENSG00000140465,5276,2622.5662,-2.01545,0.0017,1.00E-04,
210840_s_at,IQGAP1,ENSG00000140575,10300,2624.0903,-2.39197,0.0017,1.00E-04,
222060_at,KRT8P12,ENSG00000229320,21420,2624.4374,-2.19527,0.0017,1.00E-04,
213112_s_at,SQSTM1,ENSG00000161011,12495,2626.0526,-2.34811,0.0017,1.00E-04,
218922_s_at,LASS4,ENSG00000090661,18286,2627.6773,-2.47718,0.0018,1.00E-04,
201098_at,COPB2,ENSG00000184432,626,2629.6503,-2.48871,0.0018,1.00E-04,
218849_s_at,PPP1R13L,ENSG00000104881,18213,2631.7987,-2.37232,0.0018,1.00E-04,
209736_at,SOX13,ENSG00000143842,9224,2633.1585,-2.39944,0.0018,1.00E-04,
209271_at,BPTF,ENSG00000171634,8765,2633.9471,-2.40811,0.0018,1.00E-04,
212586_at,CAST,ENSG00000153113,11971,2634.5098,-2.57648,0.0018,1.00E-04,
AFFX-r2-Hs18SrRNA-M_x_at,nil,nil,nil,22272,2635.3251,-1,0.0018,1.00E-04
201864_at,GDI1,ENSG00000203879,1392,2635.8993,-2.23287,0.0018,1.00E-04,
221953_s_at,MT1P3,ENSG00000126005,21313,2639.7468,-2.23985,0.0018,1.00E-04,
218224_at,C14orf43,ENSG00000156030,17589,2640.3376,-2.29421,0.0018,1.00E-04,
207809_s_at,ATP6AP1,ENSG00000071553,7328,2645.727,-2.30505,0.0019,1.00E-04,
212733_at,KIAA0226,ENSG00000145016,12118,2648.7014,-2.47221,0.0019,1.00E-04,
217916_s_at,FAM49B,ENSG00000153310,17281,2652.9792,-2.26153,0.0019,1.00E-04,
208622_s_at,EZR,ENSG00000092820,8119,2654.4924,-2.1038,0.0019,1.00E-04,
AFFX-HUMRGE/M10098_3_at,nil,nil,nil,22239,2656.5831,-2.27758,0.0019,1.00E-04
214581_x_at,TNFRSF21,ENSG00000146072,13959,2658.8362,-2.37019,0.0019,1.00E-04,
217734_s_at,WDR6,ENSG00000178252,17099,2659.702,-2.26106,0.0019,1.00E-04,
203630_s_at,COG5,ENSG00000164597,3157,2660.1224,-2.47049,0.0019,1.00E-04,
214909_s_at,DDAH2,ENSG00000213722,14284,2660.5484,-2.42183,0.0019,1.00E-04,
45714_at,HCFC1R1,ENSG00000103145,22019,2661.538,-2.2931,0.0019,1.00E-04,
